--- 2026-06-03_18:17:51 ---
NAME         CPU %     MEM USAGE / LIMIT     MEM %
cliente36    0.00%     2.844MiB / 23.32GiB   0.01%
cliente35    0.00%     2.855MiB / 23.32GiB   0.01%
cliente34    0.00%     2.844MiB / 23.32GiB   0.01%
cliente33    0.00%     2.844MiB / 23.32GiB   0.01%
cliente32    0.00%     2.852MiB / 23.32GiB   0.01%
cliente31    0.00%     2.844MiB / 23.32GiB   0.01%
cliente30    0.00%     2.844MiB / 23.32GiB   0.01%
cliente29    0.00%     2.852MiB / 23.32GiB   0.01%
cliente28    0.00%     2.852MiB / 23.32GiB   0.01%
cliente27    0.00%     2.84MiB / 23.32GiB    0.01%
cliente26    0.00%     2.84MiB / 23.32GiB    0.01%
cliente25    0.00%     2.844MiB / 23.32GiB   0.01%
cliente24    0.00%     2.836MiB / 23.32GiB   0.01%
cliente23    0.00%     2.844MiB / 23.32GiB   0.01%
cliente22    0.00%     2.84MiB / 23.32GiB    0.01%
cliente21    0.00%     2.844MiB / 23.32GiB   0.01%
cliente20    0.00%     2.84MiB / 23.32GiB    0.01%
cliente19    0.00%     2.848MiB / 23.32GiB   0.01%
cliente18    0.00%     2.848MiB / 23.32GiB   0.01%
cliente17    0.00%     2.852MiB / 23.32GiB   0.01%
cliente16    0.00%     2.844MiB / 23.32GiB   0.01%
cliente15    0.00%     2.852MiB / 23.32GiB   0.01%
cliente14    0.00%     2.844MiB / 23.32GiB   0.01%
cliente13    0.00%     2.848MiB / 23.32GiB   0.01%
cliente12    0.00%     2.852MiB / 23.32GiB   0.01%
cliente11    0.00%     2.848MiB / 23.32GiB   0.01%
--- 2026-06-03_18:18:51 ---
NAME         CPU %     MEM USAGE / LIMIT     MEM %
cliente10    99.37%    3.965MiB / 23.32GiB   0.02%
cliente9     97.45%    1.668MiB / 23.32GiB   0.01%
cliente8     99.99%    2.574MiB / 23.32GiB   0.01%
servidor     113.58%   37.15MiB / 23.32GiB   0.16%
cliente100   0.00%     2.855MiB / 23.32GiB   0.01%
cliente99    0.00%     2.848MiB / 23.32GiB   0.01%
cliente98    0.00%     2.84MiB / 23.32GiB    0.01%
cliente97    0.00%     2.844MiB / 23.32GiB   0.01%
cliente96    0.00%     2.848MiB / 23.32GiB   0.01%
cliente94    0.00%     2.836MiB / 23.32GiB   0.01%
cliente93    0.00%     2.852MiB / 23.32GiB   0.01%
cliente92    0.00%     2.855MiB / 23.32GiB   0.01%
cliente91    0.00%     2.852MiB / 23.32GiB   0.01%
cliente90    0.00%     2.844MiB / 23.32GiB   0.01%
cliente89    0.00%     2.848MiB / 23.32GiB   0.01%
cliente88    0.00%     2.848MiB / 23.32GiB   0.01%
cliente87    0.00%     2.852MiB / 23.32GiB   0.01%
cliente86    0.00%     2.852MiB / 23.32GiB   0.01%
cliente85    0.00%     2.844MiB / 23.32GiB   0.01%
cliente84    0.00%     2.844MiB / 23.32GiB   0.01%
cliente83    0.00%     2.852MiB / 23.32GiB   0.01%
cliente82    0.00%     2.852MiB / 23.32GiB   0.01%
cliente81    0.00%     2.852MiB / 23.32GiB   0.01%
cliente80    0.00%     2.844MiB / 23.32GiB   0.01%
cliente79    0.00%     2.84MiB / 23.32GiB    0.01%
cliente78    0.00%     2.844MiB / 23.32GiB   0.01%
cliente77    0.00%     2.855MiB / 23.32GiB   0.01%
cliente76    0.00%     2.84MiB / 23.32GiB    0.01%
cliente75    0.00%     2.848MiB / 23.32GiB   0.01%
cliente74    0.00%     2.852MiB / 23.32GiB   0.01%
cliente73    0.00%     2.84MiB / 23.32GiB    0.01%
cliente72    0.00%     2.848MiB / 23.32GiB   0.01%
cliente71    0.00%     2.848MiB / 23.32GiB   0.01%
cliente70    0.00%     2.848MiB / 23.32GiB   0.01%
cliente69    0.00%     2.844MiB / 23.32GiB   0.01%
cliente68    0.00%     2.852MiB / 23.32GiB   0.01%
cliente67    0.00%     2.855MiB / 23.32GiB   0.01%
cliente66    0.00%     2.844MiB / 23.32GiB   0.01%
cliente65    0.00%     2.863MiB / 23.32GiB   0.01%
cliente64    0.00%     2.855MiB / 23.32GiB   0.01%
cliente63    0.00%     2.844MiB / 23.32GiB   0.01%
cliente62    0.00%     2.844MiB / 23.32GiB   0.01%
cliente61    0.00%     2.938MiB / 23.32GiB   0.01%
cliente60    0.00%     2.832MiB / 23.32GiB   0.01%
cliente59    0.00%     2.855MiB / 23.32GiB   0.01%
cliente58    0.00%     2.844MiB / 23.32GiB   0.01%
cliente57    0.00%     2.848MiB / 23.32GiB   0.01%
cliente56    0.00%     2.855MiB / 23.32GiB   0.01%
cliente55    0.00%     2.848MiB / 23.32GiB   0.01%
cliente54    0.00%     2.84MiB / 23.32GiB    0.01%
cliente53    0.00%     2.844MiB / 23.32GiB   0.01%
cliente52    0.00%     2.852MiB / 23.32GiB   0.01%
cliente51    0.00%     2.852MiB / 23.32GiB   0.01%
cliente50    0.00%     2.844MiB / 23.32GiB   0.01%
cliente49    0.00%     2.852MiB / 23.32GiB   0.01%
cliente48    0.00%     2.852MiB / 23.32GiB   0.01%
cliente47    0.00%     2.848MiB / 23.32GiB   0.01%
cliente46    0.00%     2.844MiB / 23.32GiB   0.01%
cliente45    0.00%     2.84MiB / 23.32GiB    0.01%
cliente44    0.00%     2.844MiB / 23.32GiB   0.01%
cliente43    0.00%     2.848MiB / 23.32GiB   0.01%
cliente42    0.00%     2.844MiB / 23.32GiB   0.01%
cliente41    0.00%     2.848MiB / 23.32GiB   0.01%
cliente40    0.00%     2.848MiB / 23.32GiB   0.01%
cliente39    0.00%     2.848MiB / 23.32GiB   0.01%
cliente38    0.00%     2.84MiB / 23.32GiB    0.01%
cliente37    0.00%     2.848MiB / 23.32GiB   0.01%
cliente36    0.00%     2.844MiB / 23.32GiB   0.01%
cliente35    0.00%     2.855MiB / 23.32GiB   0.01%
cliente34    0.00%     2.844MiB / 23.32GiB   0.01%
cliente33    0.00%     2.844MiB / 23.32GiB   0.01%
cliente32    0.00%     2.852MiB / 23.32GiB   0.01%
cliente31    0.00%     2.844MiB / 23.32GiB   0.01%
cliente30    0.00%     2.844MiB / 23.32GiB   0.01%
cliente29    0.00%     2.852MiB / 23.32GiB   0.01%
cliente28    0.00%     2.852MiB / 23.32GiB   0.01%
cliente27    0.00%     2.84MiB / 23.32GiB    0.01%
cliente26    0.00%     2.84MiB / 23.32GiB    0.01%
cliente25    0.00%     2.844MiB / 23.32GiB   0.01%
cliente24    0.00%     2.836MiB / 23.32GiB   0.01%
cliente23    0.00%     2.844MiB / 23.32GiB   0.01%
cliente22    0.00%     2.84MiB / 23.32GiB    0.01%
cliente21    0.00%     2.844MiB / 23.32GiB   0.01%
cliente20    0.00%     2.84MiB / 23.32GiB    0.01%
cliente19    0.00%     2.848MiB / 23.32GiB   0.01%
cliente18    0.00%     2.848MiB / 23.32GiB   0.01%
cliente17    0.00%     2.852MiB / 23.32GiB   0.01%
cliente16    0.00%     2.844MiB / 23.32GiB   0.01%
cliente15    0.00%     2.852MiB / 23.32GiB   0.01%
cliente14    0.00%     2.844MiB / 23.32GiB   0.01%
cliente13    0.00%     2.848MiB / 23.32GiB   0.01%
cliente12    0.00%     2.852MiB / 23.32GiB   0.01%
cliente11    0.00%     2.848MiB / 23.32GiB   0.01%
--- 2026-06-03_18:18:57 ---
NAME         CPU %     MEM USAGE / LIMIT     MEM %
servidor     101.10%   36.16MiB / 23.32GiB   0.15%
cliente100   0.00%     2.855MiB / 23.32GiB   0.01%
cliente99    0.00%     2.848MiB / 23.32GiB   0.01%
cliente98    0.00%     2.84MiB / 23.32GiB    0.01%
cliente97    0.00%     2.844MiB / 23.32GiB   0.01%
cliente96    0.00%     2.848MiB / 23.32GiB   0.01%
cliente94    0.00%     2.836MiB / 23.32GiB   0.01%
cliente93    0.00%     2.852MiB / 23.32GiB   0.01%
cliente92    0.00%     2.855MiB / 23.32GiB   0.01%
cliente91    0.00%     2.852MiB / 23.32GiB   0.01%
cliente90    0.00%     2.844MiB / 23.32GiB   0.01%
cliente89    0.00%     2.848MiB / 23.32GiB   0.01%
cliente88    0.00%     2.848MiB / 23.32GiB   0.01%
cliente87    0.00%     2.852MiB / 23.32GiB   0.01%
cliente86    0.00%     2.852MiB / 23.32GiB   0.01%
cliente85    0.00%     2.844MiB / 23.32GiB   0.01%
cliente84    0.00%     2.844MiB / 23.32GiB   0.01%
cliente83    0.00%     2.852MiB / 23.32GiB   0.01%
cliente82    0.00%     2.852MiB / 23.32GiB   0.01%
cliente81    0.00%     2.852MiB / 23.32GiB   0.01%
cliente80    0.00%     2.844MiB / 23.32GiB   0.01%
cliente79    0.00%     2.84MiB / 23.32GiB    0.01%
cliente78    0.00%     2.844MiB / 23.32GiB   0.01%
cliente77    0.00%     2.855MiB / 23.32GiB   0.01%
cliente76    0.00%     2.84MiB / 23.32GiB    0.01%
cliente75    0.00%     2.848MiB / 23.32GiB   0.01%
cliente74    0.00%     2.852MiB / 23.32GiB   0.01%
cliente73    0.00%     2.84MiB / 23.32GiB    0.01%
cliente72    0.00%     2.848MiB / 23.32GiB   0.01%
cliente71    0.00%     2.848MiB / 23.32GiB   0.01%
cliente70    0.00%     2.848MiB / 23.32GiB   0.01%
cliente69    0.00%     2.844MiB / 23.32GiB   0.01%
cliente68    0.00%     2.852MiB / 23.32GiB   0.01%
cliente67    0.00%     2.855MiB / 23.32GiB   0.01%
cliente66    0.00%     2.844MiB / 23.32GiB   0.01%
cliente65    0.00%     2.863MiB / 23.32GiB   0.01%
cliente64    0.00%     2.855MiB / 23.32GiB   0.01%
cliente63    0.00%     2.844MiB / 23.32GiB   0.01%
cliente62    0.00%     2.844MiB / 23.32GiB   0.01%
cliente61    0.00%     2.938MiB / 23.32GiB   0.01%
cliente60    0.00%     2.832MiB / 23.32GiB   0.01%
cliente59    0.00%     2.855MiB / 23.32GiB   0.01%
cliente58    0.00%     2.844MiB / 23.32GiB   0.01%
cliente57    0.00%     2.848MiB / 23.32GiB   0.01%
cliente56    0.00%     2.855MiB / 23.32GiB   0.01%
cliente55    0.00%     2.848MiB / 23.32GiB   0.01%
cliente54    0.00%     2.84MiB / 23.32GiB    0.01%
cliente53    0.00%     2.844MiB / 23.32GiB   0.01%
cliente52    0.00%     2.852MiB / 23.32GiB   0.01%
cliente51    0.00%     2.852MiB / 23.32GiB   0.01%
cliente50    0.00%     2.844MiB / 23.32GiB   0.01%
cliente49    0.00%     2.852MiB / 23.32GiB   0.01%
cliente48    0.00%     2.852MiB / 23.32GiB   0.01%
cliente47    0.00%     2.848MiB / 23.32GiB   0.01%
cliente46    0.00%     2.844MiB / 23.32GiB   0.01%
cliente45    0.00%     2.84MiB / 23.32GiB    0.01%
cliente44    0.00%     2.844MiB / 23.32GiB   0.01%
cliente43    0.00%     2.848MiB / 23.32GiB   0.01%
cliente42    0.00%     2.844MiB / 23.32GiB   0.01%
cliente41    0.00%     2.848MiB / 23.32GiB   0.01%
cliente40    0.00%     2.848MiB / 23.32GiB   0.01%
cliente39    0.00%     2.848MiB / 23.32GiB   0.01%
cliente38    0.00%     2.84MiB / 23.32GiB    0.01%
cliente37    0.00%     2.848MiB / 23.32GiB   0.01%
cliente36    0.00%     2.844MiB / 23.32GiB   0.01%
cliente35    0.00%     2.855MiB / 23.32GiB   0.01%
cliente34    0.00%     2.844MiB / 23.32GiB   0.01%
cliente33    0.00%     2.844MiB / 23.32GiB   0.01%
cliente32    0.00%     2.852MiB / 23.32GiB   0.01%
cliente31    0.00%     2.844MiB / 23.32GiB   0.01%
cliente30    0.00%     2.844MiB / 23.32GiB   0.01%
cliente29    0.00%     2.852MiB / 23.32GiB   0.01%
cliente28    0.00%     2.852MiB / 23.32GiB   0.01%
cliente27    0.00%     2.84MiB / 23.32GiB    0.01%
cliente26    0.00%     2.84MiB / 23.32GiB    0.01%
cliente25    0.00%     2.844MiB / 23.32GiB   0.01%
cliente24    0.00%     2.836MiB / 23.32GiB   0.01%
cliente23    0.00%     2.844MiB / 23.32GiB   0.01%
cliente22    0.00%     2.84MiB / 23.32GiB    0.01%
cliente21    0.00%     2.844MiB / 23.32GiB   0.01%
cliente20    0.00%     2.84MiB / 23.32GiB    0.01%
cliente19    0.00%     2.848MiB / 23.32GiB   0.01%
cliente18    0.00%     2.848MiB / 23.32GiB   0.01%
cliente17    0.00%     2.852MiB / 23.32GiB   0.01%
cliente16    0.00%     2.844MiB / 23.32GiB   0.01%
cliente15    0.00%     2.852MiB / 23.32GiB   0.01%
cliente14    0.00%     2.844MiB / 23.32GiB   0.01%
cliente13    0.00%     2.848MiB / 23.32GiB   0.01%
cliente12    0.00%     2.852MiB / 23.32GiB   0.01%
cliente11    0.00%     2.848MiB / 23.32GiB   0.01%
--- 2026-06-03_18:19:02 ---
NAME         CPU %     MEM USAGE / LIMIT     MEM %
cliente100   0.00%     2.855MiB / 23.32GiB   0.01%
cliente99    0.00%     2.848MiB / 23.32GiB   0.01%
cliente98    0.00%     2.84MiB / 23.32GiB    0.01%
cliente97    0.00%     2.844MiB / 23.32GiB   0.01%
cliente96    0.00%     2.848MiB / 23.32GiB   0.01%
cliente94    0.00%     2.836MiB / 23.32GiB   0.01%
cliente93    0.00%     2.852MiB / 23.32GiB   0.01%
cliente92    0.00%     2.855MiB / 23.32GiB   0.01%
cliente91    0.00%     2.852MiB / 23.32GiB   0.01%
cliente90    0.00%     2.844MiB / 23.32GiB   0.01%
cliente89    0.00%     2.848MiB / 23.32GiB   0.01%
cliente88    0.00%     2.848MiB / 23.32GiB   0.01%
cliente87    0.00%     2.852MiB / 23.32GiB   0.01%
cliente86    0.00%     2.852MiB / 23.32GiB   0.01%
cliente85    0.00%     2.844MiB / 23.32GiB   0.01%
cliente84    0.00%     2.844MiB / 23.32GiB   0.01%
cliente83    0.00%     2.852MiB / 23.32GiB   0.01%
cliente82    0.00%     2.852MiB / 23.32GiB   0.01%
cliente81    0.00%     2.852MiB / 23.32GiB   0.01%
cliente80    0.00%     2.844MiB / 23.32GiB   0.01%
cliente79    0.00%     2.84MiB / 23.32GiB    0.01%
cliente78    0.00%     2.844MiB / 23.32GiB   0.01%
cliente77    0.00%     2.855MiB / 23.32GiB   0.01%
cliente76    0.00%     2.84MiB / 23.32GiB    0.01%
cliente75    0.00%     2.848MiB / 23.32GiB   0.01%
cliente74    0.00%     2.852MiB / 23.32GiB   0.01%
cliente73    0.00%     2.84MiB / 23.32GiB    0.01%
cliente72    0.00%     2.848MiB / 23.32GiB   0.01%
cliente71    0.00%     2.848MiB / 23.32GiB   0.01%
cliente70    0.00%     2.848MiB / 23.32GiB   0.01%
cliente69    0.00%     2.844MiB / 23.32GiB   0.01%
cliente68    0.00%     2.852MiB / 23.32GiB   0.01%
cliente67    0.00%     2.855MiB / 23.32GiB   0.01%
cliente66    0.00%     2.844MiB / 23.32GiB   0.01%
cliente65    0.00%     2.863MiB / 23.32GiB   0.01%
cliente64    0.00%     2.855MiB / 23.32GiB   0.01%
cliente63    0.00%     2.844MiB / 23.32GiB   0.01%
cliente62    0.00%     2.844MiB / 23.32GiB   0.01%
cliente61    0.00%     2.938MiB / 23.32GiB   0.01%
cliente60    0.00%     2.832MiB / 23.32GiB   0.01%
cliente59    0.00%     2.855MiB / 23.32GiB   0.01%
cliente58    0.00%     2.844MiB / 23.32GiB   0.01%
cliente57    0.00%     2.848MiB / 23.32GiB   0.01%
cliente56    0.00%     2.855MiB / 23.32GiB   0.01%
cliente55    0.00%     2.848MiB / 23.32GiB   0.01%
cliente54    0.00%     2.84MiB / 23.32GiB    0.01%
cliente53    0.00%     2.844MiB / 23.32GiB   0.01%
cliente52    0.00%     2.852MiB / 23.32GiB   0.01%
cliente51    0.00%     2.852MiB / 23.32GiB   0.01%
cliente50    0.00%     2.844MiB / 23.32GiB   0.01%
cliente49    0.00%     2.852MiB / 23.32GiB   0.01%
cliente48    0.00%     2.852MiB / 23.32GiB   0.01%
cliente47    0.00%     2.848MiB / 23.32GiB   0.01%
cliente46    0.00%     2.844MiB / 23.32GiB   0.01%
cliente45    0.00%     2.84MiB / 23.32GiB    0.01%
cliente44    0.00%     2.844MiB / 23.32GiB   0.01%
cliente43    0.00%     2.848MiB / 23.32GiB   0.01%
cliente42    0.00%     2.844MiB / 23.32GiB   0.01%
cliente41    0.00%     2.848MiB / 23.32GiB   0.01%
cliente40    0.00%     2.848MiB / 23.32GiB   0.01%
cliente39    0.00%     2.848MiB / 23.32GiB   0.01%
cliente38    0.00%     2.84MiB / 23.32GiB    0.01%
cliente37    0.00%     2.848MiB / 23.32GiB   0.01%
cliente36    0.00%     2.844MiB / 23.32GiB   0.01%
cliente35    0.00%     2.855MiB / 23.32GiB   0.01%
cliente34    0.00%     2.844MiB / 23.32GiB   0.01%
cliente33    0.00%     2.844MiB / 23.32GiB   0.01%
cliente32    0.00%     2.852MiB / 23.32GiB   0.01%
cliente31    0.00%     2.844MiB / 23.32GiB   0.01%
cliente30    0.00%     2.844MiB / 23.32GiB   0.01%
cliente29    0.00%     2.852MiB / 23.32GiB   0.01%
cliente28    0.00%     2.852MiB / 23.32GiB   0.01%
cliente27    0.00%     2.84MiB / 23.32GiB    0.01%
cliente26    0.00%     2.84MiB / 23.32GiB    0.01%
cliente25    0.00%     2.844MiB / 23.32GiB   0.01%
cliente24    0.00%     2.836MiB / 23.32GiB   0.01%
cliente23    0.00%     2.844MiB / 23.32GiB   0.01%
cliente22    0.00%     2.84MiB / 23.32GiB    0.01%
cliente21    0.00%     2.844MiB / 23.32GiB   0.01%
cliente20    0.00%     2.84MiB / 23.32GiB    0.01%
cliente19    0.00%     2.848MiB / 23.32GiB   0.01%
cliente18    0.00%     2.848MiB / 23.32GiB   0.01%
cliente17    0.00%     2.852MiB / 23.32GiB   0.01%
cliente16    0.00%     2.844MiB / 23.32GiB   0.01%
cliente15    0.00%     2.852MiB / 23.32GiB   0.01%
cliente14    0.00%     2.844MiB / 23.32GiB   0.01%
cliente13    0.00%     2.848MiB / 23.32GiB   0.01%
cliente12    0.00%     2.852MiB / 23.32GiB   0.01%
cliente11    0.00%     2.848MiB / 23.32GiB   0.01%
